Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2020-01-02,72.40049743652344,72.4607608758153,71.15665916677409,71.40976266924919,135480400
2020-01-03,71.6966552734375,72.45597354015936,71.47247692584565,71.62916047987068,146322800
2020-01-06,72.26793670654297,72.3065062028637,70.56851011431775,70.81920816221287,118387200
2020-01-07,71.92806243896484,72.53310260522755,71.70870255084994,72.27758611058375,108872000
2020-01-08,73.08509063720703,73.38640783949229,71.63153674763797,71.63153674763797,132079200
2020-01-09,74.63748168945312,74.83032176731344,73.81066900497032,74.06135963491325,170108400
2020-01-10,74.80622863769531,75.37030104945943,74.30483992947904,74.87131787710281,140644800
2020-01-13,76.40443420410156,76.43095395568463,75.00391177805751,75.12203317921409,121532000
2020-01-14,75.37271118164062,76.5514679630278,75.24977872842311,76.34175230410106,161954400
2020-01-15,75.0497055053711,76.0524904138791,74.6182170498927,75.17264532410701,121923600
2020-01-16,75.98979949951172,76.10068954693726,75.23048148138665,75.5920621906251,108829200
2020-01-17,76.83106994628906,76.83347548162705,75.93193674542053,76.23807238178088,137816400
2020-01-21,76.3104019165039,76.90097930249982,76.17299948734095,76.45985409290795,110843200
2020-01-22,76.58279418945312,77.13480208755844,76.4887796776353,76.79491535128935,101832400
2020-01-23,76.95159149169922,77.03113599263217,76.08861494453882,76.63581166676181,104472000
2020-01-24,76.7298583984375,77.93994620320352,76.53942377731238,77.1975035046655,146537600
2020-01-27,74.47358703613281,75.15335327614349,73.49249613883003,74.74115326828117,161940000
2020-01-28,76.58038330078125,76.75152944120848,75.25458738363722,75.35342032568062,162234000
2020-01-29,78.18340301513672,79.02950436307852,77.46988569545148,78.20992276333985,216229200
2020-01-30,78.07008361816406,78.12311574202653,76.83588948795824,77.26737779773116,126743200
2020-01-31,74.60856628417969,77.78324080814086,74.31448034488959,77.36139664518089,199588400
2020-02-03,74.40367126464844,75.56795795185045,72.85128411079334,73.35267280813538,173788400
2020-02-04,76.86003112792969,77.05046575296248,75.60172957976908,76.00669833273602,136616400
2020-02-05,77.48675537109375,78.28464294726993,76.88412080562057,77.98573120045752,118826800
2020-02-06,78.39310455322266,78.39551744527337,77.19989265225486,77.75672634398214,105425600
2020-02-07,77.32752227783203,78.14180023144418,76.83702208588501,77.89292589511314,117684000
2020-02-10,77.69482421875,77.69482421875,75.83430875751218,75.91404207954616,109348800
2020-02-11,77.22606658935547,78.26264398287658,77.00860470842123,78.19015914717811,94323200
2020-02-12,79.05999755859375,79.06482742202022,77.67547849475221,77.67547849475221,113730400
2020-02-13,78.49700164794922,78.82319807398167,78.12973294999506,78.33269781258844,94747600
2020-02-14,78.51634979248047,78.76522420824622,78.00893385896474,78.4656030374421,80113600
2020-02-18,77.07865142822266,77.25987082813228,76.01791033464364,76.19912973455325,152531200
2020-02-19,78.19498443603516,78.42453202537972,77.32029972520789,77.32029972520789,93984000
2020-02-20,77.39277648925781,78.44385067885128,76.88777921917897,77.95576899229526,100566000
2020-02-21,75.64098358154297,77.42902110600791,75.02484049800245,76.98684158821678,129554000
2020-02-24,72.0479965209961,73.4977516680358,69.88544951763012,71.8257048611315,222195200
2020-02-25,69.60758972167969,73.09908711151304,69.13642361597664,72.71732141374063,230673600
2020-02-26,70.71180725097656,71.97551316759632,69.22580967000033,69.23305815092856,198054800
2020-02-27,66.0895004272461,69.10499371673924,65.95419053994536,67.9210285159399,320605600
2020-02-28,66.05084991455078,67.27106508637516,61.94562839291094,62.160678974985316,426510000
2020-03-02,72.20022583007812,72.83570304979878,67.10433710214947,68.20615048257532,341397200
2020-03-03,69.90721130371094,73.45427795635602,69.05668336601278,73.37454464911569,319475600
2020-03-04,73.14985656738281,73.30933062028171,70.82783412978802,71.62761564019262,219178400
2020-03-05,70.7770767211914,72.37905058025478,70.41221917601806,71.40529829391956,187572800
2020-03-06,69.83714294433594,70.26965542799252,67.95246362121284,68.13851293457299,226176800
2020-03-09,64.31356048583984,67.19373670107173,63.54760324031838,63.72882264119381,286744800
2020-03-10,68.94551849365234,69.21130840087326,65.08675341116529,66.96419096693461,285290000
2020-03-11,66.5510025024414,67.95001816307732,65.68839649479615,67.02459445203215,255598800
2020-03-12,59.978797912597656,65.23899494473845,59.92322498627828,61.841735279374994,418474000
2020-03-13,67.16474914550781,67.63592258199654,61.11926832671573,64.00428573904365,370732000
2020-03-16,58.52421951293945,62.60044418179931,57.99022457275424,58.46139441002403,322423600
2020-03-17,61.097530364990234,62.245249799692694,57.60361793460999,59.80483021639644,324056000
2020-03-18,59.601863861083984,60.406478598445545,57.29433564123959,57.93464652653443,300233600
2020-03-19,59.14518737792969,61.09269153777121,58.62085961850456,59.77583112302971,271857200
2020-03-20,55.39033126831055,60.84866031438535,55.09071377836536,59.72509749228031,401693200
2020-03-23,54.21360397338867,55.21152015646839,51.372084613414366,55.1100377172106,336752800
2020-03-24,59.65260696411133,59.84832336499044,56.61295251663222,57.11070131069981,287531200
2020-03-25,59.32400131225586,62.39989846973341,59.029217373030974,60.58770393527842,303602000
2020-03-26,62.4458122253418,62.50380009475104,59.52697025468034,59.565631292232815,252087200
2020-03-27,59.86040115356445,61.82481719246613,59.69367869443923,61.07094557233669,204216800
2020-03-30,61.568695068359375,61.740251079824446,60.26149806281595,60.585279571290975,167976400
2020-03-31,61.443050384521484,63.42438208826982,60.88972867869349,61.759583420299464,197002000
2020-04-01,58.21009826660156,60.09719601446135,57.78000444616135,59.560786204803335,176218400
2020-04-02,59.18143081665039,59.234588810411715,57.24117510511811,58.072368803656616,165934000
2020-04-03,58.33091735839844,59.36749098851091,57.74134949209258,58.66677725772262,129880000
2020-04-06,63.419551849365234,63.57418859482583,60.25666962435699,60.62393834693367,201820400
2020-04-07,62.685020446777344,65.64977566750463,62.5811230546705,65.43230640646736,202887200
2020-04-08,64.28939819335938,64.60350888065241,63.119929845723,63.48477990198321,168895200
2020-04-09,64.75332641601562,65.25591244712727,63.95838246710248,64.9248861243381,161834800
2020-04-13,66.02428436279297,66.13301897916537,64.23141674512242,64.8306516969401,131022800
2020-04-14,69.35872650146484,69.64868059310524,67.18409293567838,67.65526649113433,194994800
2020-04-15,68.72563934326172,69.18472698748576,67.80746405481365,68.23513915845088,131154400
2020-04-16,69.27174377441406,69.63660131632508,68.22308804264783,69.43846626880793,157125200
2020-04-17,68.3318099975586,69.33456350529407,66.89655138464681,68.7884865443206,215250000
2020-04-20,66.9134750366211,68.06119834153615,66.89414820439593,67.15993823398618,130015200
2020-04-21,64.84515380859375,66.99079338426836,64.13477293897611,66.75641592219942,180991600
2020-04-22,66.712890625,67.14781415308438,65.77055139826061,66.11123731675362,116862400
2020-04-23,66.45436096191406,68.07808706003861,66.41569993888298,66.6573258024501,124814400
2020-04-24,68.37289428710938,68.38256138963163,66.93038709342744,66.97871523220005,126161200
2020-04-27,68.42123413085938,68.75226055394899,67.6431981560876,68.09020033392981,117087600
2020-04-28,67.3121337890625,69.06392140300909,67.22032214952667,68.88270199466979,112004800
2020-04-29,69.52300262451172,69.99175732397147,68.59516032345273,68.79812513551234,137280800
2020-04-30,70.98967742919922,71.16606696831562,69.67282086621682,70.06183497622997,183064000
2020-05-01,69.84681701660156,72.24616099497416,69.06878114170213,69.1654300495363,240616800
2020-05-04,70.83505249023438,70.96311392727311,69.1823321546666,69.87096747127923,133568000
2020-05-05,71.89820861816406,72.7294023781066,71.14916678667844,71.29414381435919,147751200
2020-05-06,72.6399917602539,73.27063178737225,72.21472783850132,72.59891211487862,142333600
2020-05-07,73.39146423339844,73.7369949485584,72.9637889533335,73.2658213930559,115215200
2020-05-08,75.1383056640625,75.19160756554702,73.72339119914562,74.05047071308249,133838400
2020-05-11,76.32061767578125,76.81486350373997,74.4380975285037,74.64646215282984,145946400
2020-05-12,75.44842529296875,77.45450365262057,75.32728527754581,77.00385895047138,162301200
2020-05-13,74.53746032714844,76.54838929776676,73.46173624980581,75.62772061684969,200622400
2020-05-14,74.99536895751953,75.05593897018935,73.0547033855626,73.7767005983549,158929200
2020-05-15,74.55196380615234,74.5979975896763,72.7348641211466,72.76878686428954,166348400
2020-05-18,76.3084945678711,76.68160777866888,75.18431939181484,75.87481876052446,135178400
2020-05-19,75.8675765991211,77.17103702628488,75.83607901036319,76.32548203793918,101729600
2020-05-20,77.34303283691406,77.41328870045753,76.68644883413718,76.7252145142633,111504800
2020-05-21,76.76642608642578,77.74523944094076,76.52898900422082,77.204952332668,102688800
2020-05-22,77.26065826416016,77.34303256146072,76.40298515469343,76.50473859508931,81803200
2020-05-26,76.73733520507812,78.55685269616119,76.68160815192094,78.37756788987811,125522000
2020-05-27,77.0716781616211,77.21704762323688,75.85543536682479,76.59439371595593,112945200
2020-05-28,77.10562133789062,78.36305531429218,76.47084882755918,76.74704422339656,133560800
2020-05-29,77.030517578125,77.80823444705406,76.67436561863036,77.34790384342566,153532400
2020-06-01,77.9778060913086,78.09894607051093,76.85362353528801,76.98445678308985,80791200
2020-06-02,78.33880615234375,78.36303562857958,77.27035057638682,77.71130190496551,87642800
2020-06-03,78.77007293701172,79.03173947926652,78.08684155798949,78.65862620653965,104491200
2020-06-04,78.0916976928711,78.8912188000404,77.71858439241902,78.59321910796065,87560400
2020-06-05,80.31582641601562,80.37639642085425,78.31217331772173,78.34124573703636,137250400
2020-06-08,80.79067993164062,80.82460267780965,79.30308470158906,80.01296326734492,95654400
2020-06-09,83.34188842773438,83.73438081455681,80.43937898287314,80.47087656345983,147712400
2020-06-10,85.486083984375,85.95368266276594,83.85069379935202,84.2892200574616,166651600
